recency_candidate_id,model_id,season,season_label,games,accuracy,log_loss,brier_score,recency_selector_mode,recency_mode,recency_season_half_life,recency_game_half_life,recency_min_weight,recency_normalize_mean_one,recency_base_mode,recency_base_season_half_life,recency_base_game_half_life,recency_base_min_weight,recency_base_normalize_mean_one,nonlinear_model_backend,nonlinear_model_style,is_synthetic,data_source
single,blend_top3_fixed_50_30_20__nonlinear_tree__logistic_engineered__weighted_calibrated,20172018,2017-2018,468,0.527778,0.717083,0.260548,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,1,FABRICATED_SYNTHETIC_RANDOM_SEED_42
single,blend_top3_fixed_50_30_20__weighted_calibrated__elo_form_tuned__logistic_engineered,20212022,2021-2022,1312,0.605183,0.67403,0.240218,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,blend_top3_validated__elo_form_tuned__weighted_calibrated__logistic_engineered,20222023,2022-2023,1312,0.603659,0.664085,0.235749,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,blend_top3_validated__elo_form_tuned__weighted_calibrated__logistic_engineered,20232024,2023-2024,1312,0.589177,0.666778,0.237167,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,blend_top3_validated__logistic_engineered__elo_form_tuned__weighted_calibrated,20242025,2024-2025,1312,0.60061,0.657859,0.232986,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,blend_top3_validated__logistic_engineered__elo_form_tuned__weighted_calibrated,20252026,2025-2026,1312,0.570122,0.675955,0.241685,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,blend_top3_validated__nonlinear_tree__logistic_engineered__weighted_calibrated,20172018,2017-2018,468,0.527778,0.717083,0.260548,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,1,FABRICATED_SYNTHETIC_RANDOM_SEED_42
single,blend_top3_validated__weighted_calibrated__elo_form_tuned__logistic_engineered,20212022,2021-2022,1312,0.605183,0.67403,0.240218,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,elo_form_tuned,20172018,2017-2018,468,0.510684,0.712626,0.259032,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,1,FABRICATED_SYNTHETIC_RANDOM_SEED_42
single,elo_form_tuned,20212022,2021-2022,1312,0.616616,0.657629,0.232286,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,elo_form_tuned,20222023,2022-2023,1312,0.592226,0.666382,0.236795,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,elo_form_tuned,20232024,2023-2024,1312,0.587652,0.6746,0.240523,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,elo_form_tuned,20242025,2024-2025,1312,0.577744,0.677689,0.242226,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,elo_form_tuned,20252026,2025-2026,1312,0.535823,0.700845,0.253267,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
