season,game_id,game_date,home_team_abbrev,away_team_abbrev,home_pregame_streak_signed,away_pregame_streak_signed,home_pregame_last10_points_pct,away_pregame_last10_points_pct,home_pregame_last10_goal_diff_pg,away_pregame_last10_goal_diff_pg,home_pregame_season_points_pct,away_pregame_season_points_pct,home_pregame_season_goal_diff_pg,away_pregame_season_goal_diff_pg,home_pregame_home_points_pct,away_pregame_road_points_pct,home_pregame_rest_days,away_pregame_rest_days,home_back_to_back,away_back_to_back,home_three_in_four,away_three_in_four,home_four_in_six,away_four_in_six,home_pregame_travel_miles,away_pregame_travel_miles,delta_travel_miles_home_minus_away,home_timezone_shift_hours,away_timezone_shift_hours,delta_timezone_shift_hours_home_minus_away,home_pregame_home_stand_len,away_pregame_home_stand_len,home_pregame_road_trip_len,away_pregame_road_trip_len,delta_home_stand_len_home_minus_away,delta_road_trip_len_home_minus_away,rest_days_delta_home_minus_away,home_location_edge_points_pct,home_prior_prev_season_points_pct,away_prior_prev_season_points_pct,home_prior_prev_season_goal_diff_pg,away_prior_prev_season_goal_diff_pg,home_prior_prev_season_games,away_prior_prev_season_games,delta_pregame_last10_points_pct_home_minus_away,delta_pregame_last10_goal_diff_pg_home_minus_away,delta_pregame_season_points_pct_home_minus_away,delta_pregame_season_goal_diff_pg_home_minus_away,home_win,winner_abbrev
20212022,2021020051,2021-10-20,VGK,STL,-1,2,0.5,1.0,-1.5,2.5,0.5,1.0,-1.5,2.5,1.0,1.0,5,1,0,0,0,0,0,0,225.29406759586362,254.54222862751004,-29.24816103164642,0.0,0.0,0.0,1,0,0,3,1,-3,4,0.0,,,,,0,0,-0.5,-4.0,-0.5,-4.0,0,STL
20212022,2021020052,2021-10-21,MTL,CAR,-4,2,0.0,1.0,-3.0,2.0,0.0,1.0,-3.0,2.0,0.0,1.0,1,4,0,0,0,0,0,0,0.0,942.7434155426821,-942.7434155426821,0.0,1.0,-1.0,3,0,0,2,3,-2,-3,-1.0,,,,,0,0,-1.0,-5.0,-1.0,-5.0,0,CAR
20212022,2021020053,2021-10-21,OTT,SJS,1,2,0.6666666666666666,1.0,0.0,3.0,0.6666666666666666,1.0,0.0,3.0,1.0,1.0,3,1,0,0,0,0,0,0,0.0,115.21856090801809,-115.21856090801809,0.0,0.0,0.0,2,0,0,2,2,-2,2,0.0,,,,,0,0,-0.33333333333333337,-3.0,-0.33333333333333337,-3.0,0,SJS
20212022,2021020054,2021-10-21,DET,CGY,2,-2,0.6666666666666666,0.0,1.3333333333333333,-2.0,0.6666666666666666,0.0,1.3333333333333333,-2.0,0.6666666666666666,0.0,1,2,0,0,0,0,0,0,0.0,1572.6019221118268,-1572.6019221118268,0.0,2.0,-2.0,4,0,0,1,4,-1,-1,0.6666666666666666,,,,,0,0,0.6666666666666666,3.333333333333333,0.6666666666666666,3.333333333333333,0,CGY
20212022,2021020055,2021-10-21,FLA,COL,3,-2,1.0,0.3333333333333333,2.6666666666666665,-1.0,1.0,0.3333333333333333,2.6666666666666665,-1.0,1.0,0.0,1,1,0,0,0,0,0,0,179.75619622881382,900.8466379850291,-721.0904417562153,0.0,0.0,0.0,1,0,0,2,1,-2,0,1.0,,,,,0,0,0.6666666666666667,3.6666666666666665,0.6666666666666667,3.6666666666666665,1,FLA
20212022,2021020056,2021-10-21,NJD,WSH,2,1,1.0,0.6666666666666666,1.5,2.0,1.0,0.6666666666666666,1.5,2.0,1.0,,1,1,0,0,0,0,0,0,0.0,197.3525240252227,-197.3525240252227,0.0,0.0,0.0,3,0,0,1,3,-1,0,,,,,,0,0,0.33333333333333337,-0.5,0.33333333333333337,-0.5,0,WSH
20212022,2021020057,2021-10-21,CBJ,NYI,-1,1,0.6666666666666666,0.3333333333333333,1.3333333333333333,-1.3333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333,-1.3333333333333333,1.0,0.3333333333333333,1,1,0,0,0,0,0,0,163.9160701414876,277.1246479006735,-113.20857775918589,0.0,1.0,-1.0,1,0,0,4,1,-4,0,0.6666666666666667,,,,,0,0,0.3333333333333333,2.6666666666666665,0.3333333333333333,2.6666666666666665,1,CBJ
20212022,2021020058,2021-10-21,CHI,VAN,-4,-2,0.0,0.25,-2.25,-1.25,0.0,0.25,-2.25,-1.25,0.0,0.25,1,1,0,0,0,0,0,0,0.0,454.03887200091185,-454.03887200091185,0.0,-1.0,1.0,2,0,0,5,2,-5,0,-0.25,,,,,0,0,-0.25,-1.0,-0.25,-1.0,0,VAN
20212022,2021020059,2021-10-21,NSH,NYR,1,2,0.3333333333333333,0.5,-0.3333333333333333,-0.5,0.3333333333333333,0.5,-0.3333333333333333,-0.5,0.3333333333333333,0.6666666666666666,1,2,0,0,0,0,0,0,0.0,648.4347027310305,-648.4347027310305,0.0,-1.0,1.0,4,0,0,3,4,-3,-1,-0.3333333333333333,,,,,0,0,-0.16666666666666669,0.16666666666666669,-0.16666666666666669,0.16666666666666669,0,NYR
20212022,2021020060,2021-10-21,WPG,ANA,-3,-1,0.0,0.5,-1.6666666666666667,0.5,0.0,0.5,-1.6666666666666667,0.5,,0.5,1,1,0,0,0,1,0,0,390.48685742403563,742.1120208193374,-351.6251633953018,0.0,1.0,-1.0,1,0,0,3,1,-3,0,,,,,,0,0,-0.5,-2.166666666666667,-0.5,-2.166666666666667,1,WPG
20212022,2021020061,2021-10-21,UTA,EDM,-3,3,0.0,1.0,-3.3333333333333335,1.6666666666666667,0.0,1.0,-3.3333333333333335,1.6666666666666667,0.0,,2,1,0,0,0,0,0,0,0.0,1390.6353251402777,-1390.6353251402777,0.0,-1.0,1.0,2,0,0,1,2,-1,1,,,,,,0,0,-1.0,-5.0,-1.0,-5.0,0,EDM
20212022,2021020062,2021-10-22,BUF,BOS,3,-1,1.0,0.5,2.6666666666666665,-0.5,1.0,0.5,2.6666666666666665,-0.5,1.0,0.0,2,1,0,0,0,0,0,0,0.0,281.1708991818656,-281.1708991818656,0.0,0.0,0.0,4,0,0,2,4,-2,1,1.0,,,,,0,0,0.5,3.1666666666666665,0.5,3.1666666666666665,0,BOS
20212022,2021020063,2021-10-22,TOR,SJS,-1,3,0.5,1.0,0.25,2.3333333333333335,0.5,1.0,0.25,2.3333333333333335,0.6666666666666666,1.0,3,0,0,1,0,1,0,0,0.0,204.95457786499026,-204.95457786499026,0.0,0.0,0.0,3,0,0,3,3,-3,3,-0.33333333333333337,,,,,0,0,-0.5,-2.0833333333333335,-0.5,-2.0833333333333335,0,SJS
20212022,2021020064,2021-10-22,DAL,LAK,1,-2,0.5,0.3333333333333333,-0.25,0.6666666666666666,0.5,0.3333333333333333,-0.25,0.6666666666666666,,0.0,2,2,0,0,0,0,0,0,1069.5042408651407,616.5856836466355,452.91855721850516,-1.0,0.0,-1.0,1,0,0,2,1,-2,0,,,,,,0,0,0.16666666666666669,-0.9166666666666666,0.16666666666666669,-0.9166666666666666,1,DAL
20212022,2021020065,2021-10-22,VGK,EDM,-2,4,0.3333333333333333,1.0,-1.6666666666666667,2.25,0.3333333333333333,1.0,-1.6666666666666667,2.25,0.5,1.0,1,0,0,1,0,1,0,0,0.0,254.54222862751004,-254.54222862751004,0.0,0.0,0.0,2,0,0,2,2,-2,1,-0.5,,,,,0,0,-0.6666666666666667,-3.916666666666667,-0.6666666666666667,-3.916666666666667,0,EDM
20212022,2021020066,2021-10-23,MTL,DET,-5,-1,0.0,0.5,-3.0,0.25,0.0,0.5,-3.0,0.25,0.0,,1,1,0,0,0,0,0,0,0.0,519.5558916091305,-519.5558916091305,0.0,0.0,0.0,4,0,0,1,4,-1,0,,,,,,0,0,-0.5,-3.25,-0.5,-3.25,1,MTL
20212022,2021020067,2021-10-23,OTT,NYR,-1,3,0.5,0.6,-0.25,0.0,0.5,0.6,-0.25,0.0,0.6666666666666666,0.75,1,1,0,0,0,0,0,0,0.0,847.8268000922325,-847.8268000922325,0.0,1.0,-1.0,3,0,0,4,3,-4,0,-0.08333333333333337,,,,,0,0,-0.09999999999999998,-0.25,-0.09999999999999998,-0.25,0,NYR
20212022,2021020068,2021-10-23,TBL,COL,-1,-3,0.5,0.25,-1.25,-1.5,0.5,0.25,-1.25,-1.5,0.0,0.0,3,1,0,0,0,0,0,0,0.0,179.75619622881382,-179.75619622881382,0.0,0.0,0.0,2,0,0,3,2,-3,2,0.0,,,,,0,0,0.25,0.25,0.25,0.25,0,COL
20212022,2021020069,2021-10-23,NJD,BUF,-1,-1,0.6666666666666666,0.75,0.0,1.25,0.6666666666666666,0.75,0.0,1.25,0.6666666666666666,,1,0,0,1,0,0,0,0,0.0,283.87687876177654,-283.87687876177654,0.0,0.0,0.0,4,0,0,1,4,-1,1,,,,,,0,0,-0.08333333333333337,-1.25,-0.08333333333333337,-1.25,1,NJD
20212022,2021020070,2021-10-23,PHI,FLA,2,4,0.6666666666666666,1.0,2.3333333333333335,2.75,0.6666666666666666,1.0,2.3333333333333335,2.75,0.6666666666666666,1.0,2,1,0,0,0,0,0,0,0.0,994.8646883519747,-994.8646883519747,0.0,0.0,0.0,4,0,0,1,4,-1,1,-0.33333333333333337,,,,,0,0,-0.33333333333333337,-0.4166666666666665,-0.33333333333333337,-0.4166666666666665,0,FLA
